제목,내용,paragraph,question,answer,id,answer_start_pos,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
전략의 정의,"전략은 각자의 바디그래프에 맞게 흐르는 독특한 에너지의 디자인을 이해하고, 저항을 받지 않고 제대로 작동되도록 사는 방법을 말합니다. 전략은 다른 사람들과 비교하는 버릇을 깨고 스스로의 독특함을 발견하여, 자기 자신의 모습 그대로를 그냥 즐길 수 있게 합니다. 전략을 알면 진정한 자기 모습을 찾는 과정에 도움이 됩니다. 자신의 전략에 맞추어 사는 것이 개인적 실험의 시작입니다. 스스로 전략을 실험해 그것이 옳은지 알아보세요. 자신의 전략과 결정권을 사용해 자기 자신이 아닌 세상 밖의 권위에 맹목적으로 의존하는 버릇을 바꾸기 시작해봐요.","전략은 각자의 바디그래프에 맞게 흐르는 독특한 에너지의 디자인을 이해하고, 저항을 받지 않고 제대로 작동되도록 사는 방법을 말합니다. 전략은 다른 사람들과 비교하는 버릇을 깨고 스스로의 독특함을 발견하여, 자기 자신의 모습 그대로를 그냥 즐길 수 있게 합니다. 전략을 알면 진정한 자기 모습을 찾는 과정에 도움이 됩니다. 자신의 전략에 맞추어 사는 것이 개인적 실험의 시작입니다. 스스로 전략을 실험해 그것이 옳은지 알아보세요. 자신의 전략과 결정권을 사용해 자기 자신이 아닌 세상 밖의 권위에 맹목적으로 의존하는 버릇을 바꾸기 시작해봐요.",전략이란 무엇인가요?,"전략은 각자의 바디그래프에 맞게 흐르는 독특한 에너지의 디자인을 이해하고, 저항을 받지 않고 제대로 작동되도록 사는 방법을 말합니다.",0-0-0,0.0,,,,,,,,,,,,,,,,,,,
,,"전략은 각자의 바디그래프에 맞게 흐르는 독특한 에너지의 디자인을 이해하고, 저항을 받지 않고 제대로 작동되도록 사는 방법을 말합니다. 전략은 다른 사람들과 비교하는 버릇을 깨고 스스로의 독특함을 발견하여, 자기 자신의 모습 그대로를 그냥 즐길 수 있게 합니다. 전략을 알면 진정한 자기 모습을 찾는 과정에 도움이 됩니다. 자신의 전략에 맞추어 사는 것이 개인적 실험의 시작입니다. 스스로 전략을 실험해 그것이 옳은지 알아보세요. 자신의 전략과 결정권을 사용해 자기 자신이 아닌 세상 밖의 권위에 맹목적으로 의존하는 버릇을 바꾸기 시작해봐요.",전략은 뭔가요?,"전략은 각자의 바디그래프에 맞게 흐르는 독특한 에너지의 디자인을 이해하고, 저항을 받지 않고 제대로 작동되도록 사는 방법을 말합니다.",0-0-1,0.0,,,,,,,,,,,,,,,,,,,
,,"전략은 각자의 바디그래프에 맞게 흐르는 독특한 에너지의 디자인을 이해하고, 저항을 받지 않고 제대로 작동되도록 사는 방법을 말합니다. 전략은 다른 사람들과 비교하는 버릇을 깨고 스스로의 독특함을 발견하여, 자기 자신의 모습 그대로를 그냥 즐길 수 있게 합니다. 전략을 알면 진정한 자기 모습을 찾는 과정에 도움이 됩니다. 자신의 전략에 맞추어 사는 것이 개인적 실험의 시작입니다. 스스로 전략을 실험해 그것이 옳은지 알아보세요. 자신의 전략과 결정권을 사용해 자기 자신이 아닌 세상 밖의 권위에 맹목적으로 의존하는 버릇을 바꾸기 시작해봐요.",전략은 무슨 뜻인가요?,"전략은 각자의 바디그래프에 맞게 흐르는 독특한 에너지의 디자인을 이해하고, 저항을 받지 않고 제대로 작동되도록 사는 방법을 말합니다.",0-0-2,0.0,,,,,,,,,,,,,,,,,,,
,,"전략은 각자의 바디그래프에 맞게 흐르는 독특한 에너지의 디자인을 이해하고, 저항을 받지 않고 제대로 작동되도록 사는 방법을 말합니다. 전략은 다른 사람들과 비교하는 버릇을 깨고 스스로의 독특함을 발견하여, 자기 자신의 모습 그대로를 그냥 즐길 수 있게 합니다. 전략을 알면 진정한 자기 모습을 찾는 과정에 도움이 됩니다. 자신의 전략에 맞추어 사는 것이 개인적 실험의 시작입니다. 스스로 전략을 실험해 그것이 옳은지 알아보세요. 자신의 전략과 결정권을 사용해 자기 자신이 아닌 세상 밖의 권위에 맹목적으로 의존하는 버릇을 바꾸기 시작해봐요.",전략을 왜 알려주나요?,"전략은 다른 사람들과 비교하는 버릇을 깨고 스스로의 독특함을 발견하여, 자기 자신의 모습 그대로를 그냥 즐길 수 있게 합니다.",0-0-3,75.0,,,,,,,,,,,,,,,,,,,
,,"전략은 각자의 바디그래프에 맞게 흐르는 독특한 에너지의 디자인을 이해하고, 저항을 받지 않고 제대로 작동되도록 사는 방법을 말합니다. 전략은 다른 사람들과 비교하는 버릇을 깨고 스스로의 독특함을 발견하여, 자기 자신의 모습 그대로를 그냥 즐길 수 있게 합니다. 전략을 알면 진정한 자기 모습을 찾는 과정에 도움이 됩니다. 자신의 전략에 맞추어 사는 것이 개인적 실험의 시작입니다. 스스로 전략을 실험해 그것이 옳은지 알아보세요. 자신의 전략과 결정권을 사용해 자기 자신이 아닌 세상 밖의 권위에 맹목적으로 의존하는 버릇을 바꾸기 시작해봐요.",전략을 알려주는 이유가 뭔가요?,"전략은 다른 사람들과 비교하는 버릇을 깨고 스스로의 독특함을 발견하여, 자기 자신의 모습 그대로를 그냥 즐길 수 있게 합니다.",0-0-4,75.0,,,,,,,,,,,,,,,,,,,
,,"전략은 각자의 바디그래프에 맞게 흐르는 독특한 에너지의 디자인을 이해하고, 저항을 받지 않고 제대로 작동되도록 사는 방법을 말합니다. 전략은 다른 사람들과 비교하는 버릇을 깨고 스스로의 독특함을 발견하여, 자기 자신의 모습 그대로를 그냥 즐길 수 있게 합니다. 전략을 알면 진정한 자기 모습을 찾는 과정에 도움이 됩니다. 자신의 전략에 맞추어 사는 것이 개인적 실험의 시작입니다. 스스로 전략을 실험해 그것이 옳은지 알아보세요. 자신의 전략과 결정권을 사용해 자기 자신이 아닌 세상 밖의 권위에 맹목적으로 의존하는 버릇을 바꾸기 시작해봐요.",전략을 왜 따라야 하나요?,자신의 전략에 맞추어 사는 것이 개인적 실험의 시작입니다. 스스로 전략을 실험해 그것이 옳은지 알아보세요. 자신의 전략과 결정권을 사용해 자기 자신이 아닌 세상 밖의 권위에 맹목적으로 의존하는 버릇을 바꾸기 시작해봐요.,0-0-5,180.0,,,,,,,,,,,,,,,,,,,
,,"전략은 각자의 바디그래프에 맞게 흐르는 독특한 에너지의 디자인을 이해하고, 저항을 받지 않고 제대로 작동되도록 사는 방법을 말합니다. 전략은 다른 사람들과 비교하는 버릇을 깨고 스스로의 독특함을 발견하여, 자기 자신의 모습 그대로를 그냥 즐길 수 있게 합니다. 전략을 알면 진정한 자기 모습을 찾는 과정에 도움이 됩니다. 자신의 전략에 맞추어 사는 것이 개인적 실험의 시작입니다. 스스로 전략을 실험해 그것이 옳은지 알아보세요. 자신의 전략과 결정권을 사용해 자기 자신이 아닌 세상 밖의 권위에 맹목적으로 의존하는 버릇을 바꾸기 시작해봐요.",왜 전략대로 살아야 하나요?,자신의 전략에 맞추어 사는 것이 개인적 실험의 시작입니다. 스스로 전략을 실험해 그것이 옳은지 알아보세요. 자신의 전략과 결정권을 사용해 자기 자신이 아닌 세상 밖의 권위에 맹목적으로 의존하는 버릇을 바꾸기 시작해봐요.,0-0-6,180.0,,,,,,,,,,,,,,,,,,,
,,"전략은 각자의 바디그래프에 맞게 흐르는 독특한 에너지의 디자인을 이해하고, 저항을 받지 않고 제대로 작동되도록 사는 방법을 말합니다. 전략은 다른 사람들과 비교하는 버릇을 깨고 스스로의 독특함을 발견하여, 자기 자신의 모습 그대로를 그냥 즐길 수 있게 합니다. 전략을 알면 진정한 자기 모습을 찾는 과정에 도움이 됩니다. 자신의 전략에 맞추어 사는 것이 개인적 실험의 시작입니다. 스스로 전략을 실험해 그것이 옳은지 알아보세요. 자신의 전략과 결정권을 사용해 자기 자신이 아닌 세상 밖의 권위에 맹목적으로 의존하는 버릇을 바꾸기 시작해봐요.",왜 전략을 알아야 하나요?,자신의 전략에 맞추어 사는 것이 개인적 실험의 시작입니다. 스스로 전략을 실험해 그것이 옳은지 알아보세요. 자신의 전략과 결정권을 사용해 자기 자신이 아닌 세상 밖의 권위에 맹목적으로 의존하는 버릇을 바꾸기 시작해봐요.,0-0-7,180.0,,,,,,,,,,,,,,,,,,,
,,"전략은 각자의 바디그래프에 맞게 흐르는 독특한 에너지의 디자인을 이해하고, 저항을 받지 않고 제대로 작동되도록 사는 방법을 말합니다. 전략은 다른 사람들과 비교하는 버릇을 깨고 스스로의 독특함을 발견하여, 자기 자신의 모습 그대로를 그냥 즐길 수 있게 합니다. 전략을 알면 진정한 자기 모습을 찾는 과정에 도움이 됩니다. 자신의 전략에 맞추어 사는 것이 개인적 실험의 시작입니다. 스스로 전략을 실험해 그것이 옳은지 알아보세요. 자신의 전략과 결정권을 사용해 자기 자신이 아닌 세상 밖의 권위에 맹목적으로 의존하는 버릇을 바꾸기 시작해봐요.",전략은 무슨 도움이 되나요?,전략을 알면 진정한 자기 모습을 찾는 과정에 도움이 됩니다.,0-0-9,146.0,,,,,,,,,,,,,,,,,,,
혁신주도가의 전략,"혁신주도가의 전략은 알리기입니다. 실생활에서 결정 후 행동으로 옮기기 전에 알리거나, 최소한 작업 중에라도 알려주어야 합니다. 알림을 줄 때에는 구체적이고 디테일하게 알려주는 것이 좋습니다. 무작정 '나 이거 할꺼야'하는 통보나 일방적인 방식이 아니라 '내가 이런걸 하려고 하는데 어떻게 생각해?'라는 약간은 열려있는 느낌으로 알림을 준다면, 상대방의 저항이나 반발을 겪지 않고 시작하게 될 확률이 높을 것입니다. 혁신주도가는 자신의 행동 계획을 실행하는 데 누구의 조언이나 협력이 필요하지 않습니다. 그러나 혁신주도가의 행동에 영향을 받을 사람들에게 알리는 것은 혁신주도가 행동에 대한 저항을 줄일 뿐 아니라 평화롭게 달성하는 데 필요한 협조를 얻게 될 수도 있습니다. 알림으로써 수동적이거나 공격적으로 대응할 필요가 없어지게 되어 다른 사람들을 안심시킵니다. 행동 전에 알리는 것을 배움으로써 다른 사람들로 하여금 준비할 수 있도록 하면, 혁신주도가는 다른 사람들로부터 새로운 도움이나 수용의 느낌을 받을 것입니다. 어릴 때에는 알림이 예의 바르고 허락을 청하는 모습으로 나타납니다. 그들은 어릴 때부터 허락을 구하거나 알리지 않기 쉬운데, 그것은 성가시기 때문입니다.  비밀리에 행동함으로 거부 또는 통제를 피할 수 있으리라 믿기 때문입니다. 알림을 줄 때 구체적이고 객관적인 정보를 제공하면서 알림을 하는게 중요하다는 걸 연습시키면 좋습니다. '나 이거 할꺼야' 하는 통보는 알림임에도 불구하고 저항을 받거나 반발을 만들기 쉽지만, 구체적이고 객관적인 준비된 계획을 공유한다면 상대방의 입장에서도 훨씬 더 납득하기가 쉽겠죠? 다른 타입의 전략이 디자인을 따르는 것과는 달리, 혁신주도가의 전략은 저항을 없애거나 완화하기 위해 인위적으로 강요되는 것입니다. 그러므로 결정권을 지키는 것이 이들의 삶에 더욱 중요합니다. 혁신주도가에게 알리기는 자연스럽거나 즐거운 일이 아니지만 그렇게 하면 삶이 무척 쉬워집니다. 혁신주도가의 간단한 전략인 알리기는 효과적으로 평화로운 소통의 길을 열어줍니다.","혁신주도가의 전략은 알리기입니다. 실생활에서 결정 후 행동으로 옮기기 전에 알리거나, 최소한 작업 중에라도 알려주어야 합니다. 알림을 줄 때에는 구체적이고 디테일하게 알려주는 것이 좋습니다. 무작정 '나 이거 할꺼야'하는 통보나 일방적인 방식이 아니라 '내가 이런걸 하려고 하는데 어떻게 생각해?'라는 약간은 열려있는 느낌으로 알림을 준다면, 상대방의 저항이나 반발을 겪지 않고 시작하게 될 확률이 높을 것입니다. 혁신주도가는 자신의 행동 계획을 실행하는 데 누구의 조언이나 협력이 필요하지 않습니다. 그러나 혁신주도가의 행동에 영향을 받을 사람들에게 알리는 것은 혁신주도가 행동에 대한 저항을 줄일 뿐 아니라 평화롭게 달성하는 데 필요한 협조를 얻게 될 수도 있습니다. 알림으로써 수동적이거나 공격적으로 대응할 필요가 없어지게 되어 다른 사람들을 안심시킵니다. 행동 전에 알리는 것을 배움으로써 다른 사람들로 하여금 준비할 수 있도록 하면, 혁신주도가는 다른 사람들로부터 새로운 도움이나 수용의 느낌을 받을 것입니다.",혁신주도가의 전략은 무엇인가요?,"혁신주도가의 전략은 알리기입니다. 실생활에서 결정 후 행동으로 옮기기 전에 알리거나, 최소한 작업 중에라도 알려주어야 합니다.",0-1-0,0.0,,,,,,,,,,,,,,,,,,,
