part,title,paragraph
사회적 성향,연구자/은근 도전가 (1/3),"당신은 건물을 짓기 전에 기초 공사를 하듯이, 기반을 다져가며 모든 일에 있어서 원리와 원칙을 알아야 하는 사람입니다. 기본적으로 생존에 대한 두려움에 의해 움직이며, 세상을 살아가기 위해 차분히 그 기반을 만들어 안정감을 느낄 때까지 계속해서 조사하고 연구합니다. 시시각각 변화하는 세상에서 안정감을 찾는다는 것은 쉽지 않지만, 당신은 계속해서 꾸준히 앞으로 나아갈 것입니다. 당신은 단단한 기반 위에 서 있지 않다면 굉장히 불안할 수 있습니다. 그러나 이러한 원리와 원칙을 기반으로 많은 시도를 통해 잘 준비되어졌을 때, 매우 강해집니다. 당신은 자기자신이 단단하게 무르익어가는 과정에 몰입하며 그 결과로 자신이 강해지거나 자신에게 힘이 되는 것을 찾아내게 될 것입니다. 변화에 대한 적응력과 엄청난 회복력을 지닌 당신은, 시행착오로 쓰러진 자신을 오뚝이처럼 다시 일으켜 세워 세상을 향해 무엇이 ‘잘못된 것’인지를 발견하고 보여줍니다. 원리와 원칙을 잘 갖추고, 시행착오를 겪는 것에 좌절하거나 무기력해지지 않고 꿋꿋이 나아가는 것이야말로 진정 당신이 타고난 모습입니다."
사회적 성향,연구자/은근 사교가 (1/4),"당신은 자신이 조사하여 찾아낸 것을 친구, 동료, 가족 등의 가까운 사람들에게 전달하는 역할을 합니다. 이를 위해 당신은 먼저 사람들과 친해져야 합니다. 친구나 동료가 되어 '인맥'이라는 네트워크를 만들고, 그 네트워크를 기반으로 자신이 조사한 것에 대해 나눕니다. 자신이 노력하여 얻은 성과를 자신의 네트워크와 함께 나눌뿐만 아니라, 그 네트워크 안에서 오고 가는 여러가지 정보가 당신에게 다시 새로운 조사거리가 됩니다. 그렇게 조사하고 연구한 것은 당신과 당신 주변의 삶에 단단한 기반이 되어주고, 그것을 다시 자신의 인적 네트워크로 전함으로써 당신은 강력한 '영향력'을 갖게 되는 것입니다. 당신의 영향력은 '이미 알고 있는 사람들' 즉, 인적 네트워크 안에서 더 활발하게 발휘될 수 있으며, 당신이 많이 준비하면 할수록 조직 내에서의 당신의 역할은 더욱 강화됩니다. 사람들 앞에 나서는 것, 혹은 처음보는 사람을 낯설어하는 당신이지만 자신의 원리와 원칙이 단단히 준비되어 탄탄한 기반을 가지고 있다면 자연스럽게 사람들 앞에 나서고 그들의 가운데에 있게 될 것입니다."
사회적 성향,은둔자/은근 사교가 (2/4),"당신은 특별히 뭔가를 이해하기 위해서 공부가 필요하지 않은 타고난 특성적 재능이 있습니다. 혼자서 조용히 자기 일에 몰두하고자 하나 사람들에게 드러나는 재능으로 인해 늘 네트워크 안에서 재능을 발휘합니다. 사람들의 눈에 띄거나 드러나기를 싫어하지만 그만큼 타고난 재주와 천재성은 다른 사람들이 알아채기 쉬우므로 항상 제안을 받게 됩니다. 또한 받은 제안에 최선을 다하고자 혼자 있고 싶음에도 불구하고 결국 사람들 안에서 봉사하듯 재능을 드러냅니다. 사람들과의 관계 안에서 성장의 느낌을 주고 받을 때, 당신이 가진 영향력은 주목을 받고 더 확장 될 수 있습니다. 낯선 사람들에게 보다는 가까운 관계 안에 있는 사람들에게서 편안함을 느끼며, 만일 가까운 관계 네트워크 밖으로 나가야 한다면, 친한 누군가를 통해서 소개받는 것이 안전한 방법입니다. 자신이 즐기는 일에 완전히 몰두할 때 가장 행복한 당신은, 꽂히는 무엇인가가 있을 때 그것을 끝까지 유지하며 지켜 나갈 수 있습니다. 이것은 천재성이 무의식적으로 사람들 안에서 머물고자 하기 때문이며, 그 관계를 올바르고 좋게 유지하고자 자신의 재능을 아낌없이 쏟아냅니다."
사회적 성향,은둔자/은근 해결사 (2/5),"당신은 타고난 재능과 동시에 조용하고 개인적인 성향을 지니고 있습니다. 또한, 당신은 자신이 좋아하는 것을 하기 위해 방해받지 않고 혼자 있기를 원합니다. 그렇기 때문에 다른 사람들이 당신에게 기대감을 갖는다는 것은 잘 알지 못합니다. 해결사의 역할을 해줄 것이라는 기대감을 갖게 하는 매력 넘치는 당신은 다른 사람들의 기대에 대해 경계하지만, 교류할 필요 또한 있습니다. 그러나 기대감을 갖고 다가오는 사람들을 실망시키지 않으려면, 당신이 실질적이고 현실적용 가능한 해결책을 가지고 있을 때 교류하는 것이 좋습니다. 당신은 방해를 받아 귀찮아지는 것을 원치 않으며 자신이 좋아하는 것 이외에는 '난 모르겠다. 어떻게 되는지 그다지 궁금하지 않다'는 식의 태도를 보이기도 합니다. 하지만 궁극적으로는 결국 확실한 해결책을 가지고 나아가 세상의 질서를 바꾸거나 고치는 일을 하게 됩니다. 시간이 걸리겠지만 자신의 타고난 재능에 대한 신뢰를 바탕으로, 실질적이고 확실한 해결책을 가지고 있을 때, 당신은 자기자신을 스스로 불러내어 세상으로 나아가 새로운 해결책으로 기존의 질서를 바꿀 수 있습니다."
사회적 성향,도전가/은근 해결사 (3/5),"당신은 세상 모든 것에서 '잘못된 것, 잘 작동하지 않는 것'을 발견합니다. 당신은 그 문제를 해결하기 위해 비판적으로 세상을 보고 자신이 직접 뛰어들어 해보기 전까지는 잘 믿지 않고 의심합니다. 또한 많은 실수를 통해 잘못된 것을 발견하는 당신의 여정은 그 자체로 '시행착오'입니다. 그러다보니 삶에 대해 좀 비관적으로 생각하는 경향도 있을 수 있습니다.당신은 사람, 일, 시스템 등등 온갖 것들에서 잘못된 것을 발견하고 그것을 개선하거나 고칠 수 있는 실질적이고 확실한 해결책을 가지고 세상에 나가 해결사의 역할을 합니다. 해결사의 역할을 할 수 있는 이유는 다른 사람들이 당신에게 갖는 '해결사의 역할을 해줄 것이라는 기대감' 때문입니다. 기대감은 사실과 다를 수 있지만 다른 사람들이 당신에게 갖는 환상이 그렇습니다. 그런데 실수를 한다면 기대감은 실망감이 되어 돌아와 당신에 대한 평가가 부정적으로 바뀌기도 할 것입니다. 하지만 어쩔 수 없이 받아들여야 하는 당신의 역할입니다. 수많은 시도를 통해 잘못된 것을 부숴버리고, 그 자리에 새로운 것을 가져와 고치는 해결사가 바로 당신입니다."
사회적 성향,도전가/은근 관조자 (3/6),"당신은 비판적으로 세상을 바라보는 성향과 멀리 떨어져 관망하는 낙관적인 성향을 동시에 지녔습니다. 당신은 늘 삶에서 정말로 믿을 수 있는 것이 있을까 알고 싶어 합니다. 세상 모든 것들에게서 ‘잘못된 것 혹은 잘 작동하지 않는 것’을 발견하고 그것들을 많은 실수를 통해 바로 잡고자 하는 도전의 순간들은 당신이 지혜에 이르기 위한 과정의 길입니다. 당신은 삶에서 3단계의 과정을 거칩니다. 태어나면서부터 약 30세까지의 첫 번째 시기는 세상과 부딪치며 고군분투하는 과정입니다. 시행착오를 하며 여러 경험을 하고 다른 사람들과 관계가 맺어졌다 끊어지는 일 등이 자주 벌어지기도 합니다. '세상이 뭐 이래? 되는 일이 없네.' 라는 비관적인 생각이 절로 듭니다. 첫 번째 시기를 거쳐 약 30세~50세 전후의 두 번째 시기는 삶이 조금은 편안해지고 안정적으로 흘러가기 때문에 여유가 생깁니다. 그리고 약 50세 전후의 세 번째 시기가 되면 지난 20년 간의 혼란에서 벗어나 자신이 얘기한대로 행동하는 '언행일치'의 삶을 살게 됩니다. 많은 것을 직접 부딪히며 시행착오를 통해 지혜를 가지게 되는 것, 그리고 그 지혜를 사람들에게 나누며 롤모델의 역할을 하는 것입니다."
사회적 성향,사교가/은근 연구자 (4/1),"당신은 친구, 동료, 가족 등의 '인적 네트워크(인맥)'를 통해 삶에서의 여러 기회들을 만나게 됩니다. 당신은 친근함을 통해 주변 사람들에게 영향력을 끼치며, 삶을 안정적으로 살아가기 위해 공부를 하거나 정보를 조사/연구합니다. 인적 네트워크는 당신에게 사람, 일, 사랑 등등 많은 것들에 대한 기회를 가져다 주지만 이렇게 맺어진 사람, 일, 사랑 등은 끝날 때까지는 끝낼 수 없는 면이 있습니다. 또한 모르는 것이 있으면 불안한 당신은, 항상 무엇에 대한 공부를 하거나 정보를 조사/연구를 하는데, 이를 통해 삶의 안정감을 찾고자 합니다. 한 번 삶이 안정되면 이것은 기반이 잘 잡혔다는 것이고, 당신은 그 기반을 쉽게 바꾸려 하지 않습니다. 이렇게 고정적인 면이 있는 당신은 하나의 분야에서 영향력 있는 전문가가 될 수도 있습니다. 그리고 당신의 전문 지식들을 어떻게 주변 사람들과 나누면 좋을지, 사람들과의 교류를 어떻게 사용하면 좋을지도 이미 알고 있습니다. 만약 누군가와 싸우거나 다툰다면, 당신은 공손하게 고개를 끄덕이겠지만 마음 깊은 곳에서부터 가지고 있는 자기만의 진리는 절대로 양보하지 않을 것입니다."
사회적 성향,사교가/은근 관조자 (4/6),"당신은 친구, 동료, 가족 등의 '인적 네트워크(인맥)'를 통해 삶에서의 여러 기회들을 가지게 되며 매우 부드럽고 친근한 성향을 갖고 있습니다. 친근함을 통해 가까운 친구가 되어줌으로써 주변 사람들에게 영향력을 갖게 됩니다. 자신이 속한 인적 네트워크를 통해 사람들을 만나고 일을 하고 삶을 살아가기 때문에 당신에게는 주변 사람들이 아주 중요합니다. 당신은 삶에서 3단계의 과정을 거칩니다. 태어나면서부터 약 30세까지의 첫 번째 시기는 세상과 부딪치며 고군분투하는 과정입니다. 시행착오를 하며 여러 경험을 하고 다른 사람들과 관계가 맺어졌다 끊어지는 일 등이 자주 벌어지기도 합니다. '세상이 뭐 이래? 되는 일이 없네.' 라는 생각이 절로 듭니다. 첫 번째 시기를 거쳐 약 30세~50세 전후의 두 번째 시기는 삶이 조금은 편안해지고 안정적으로 흘러가기 때문에 여유가 생깁니다. 그리고 약 50세 전후의 세 번째 시기가 되면 지난 20년 간의 혼란에서 벗어나 자신이 얘기한대로 행동하는 '언행일치' 롤모델의 삶을 살게 됩니다."
사회적 성향,해결사/은근 연구자 (5/1),"당신은 사람들의 기대를 받아 세상에 나아가 실질적이고 실용적인 해결책을 가지고 문제를 해결합니다. 하지만, 이를 위해 미리 잘 준비 되어 있어야 합니다. 당신을 향해 다른 사람들은 기대를 갖습니다. '내 문제를 해결해 줄 것이다, 나를 도와줄 것이다' 하고 말입니다. 당신은 실루엣만 보이는 반투명 커튼 뒤에 가려진 무언가와 같습니다. 명확히 보이지 않는 것에서 오는 환상, 즉 다른 사람들은 당신을 바라볼 때 그들 자신이 보고 싶은 대로, 상상하는 대로 보게 됩니다. 이것은 당신의 영향력임과 동시에 부담입니다. 당신이 알아야 할 것은 사람들의 이러한 기대가 어쩔 수 없음을 받아들여야 하며, 당신은 반드시 실질적이며 실용적인 해결책이 있을 때에만 사람들을 도와야 안전할 수 있습니다. 세상에 나가 문제를 잘 해결한다면 영웅이 되겠지만, 해결을 하지 못한다면 역적이 되는 극단적 평가를 받게 되기 때문입니다. 이런 당신을 돕는 것은 무의식적으로 무언가를 항상 공부하며 조사하고 연구하는 내면의 특성입니다. 당신은 삶이 불안하지 않고 안정적이길 원합니다. 그러기 위해 늘 공부하고 조사하며 준비하는 것인데, 이러한 면이 해결사의 역할에 크게 도움이 됩니다. 당신은 준비가 철저히 되었을 때 나아 가야하며, 사람들의 기대를 받아 세상에 나가 해결책을 제시하여 문제를 고치거나 해결하고 새로운 질서를 널리 알리는 역할을 하게 될 것입니다."
사회적 성향,해결사/은근 은둔자 (5/2),"당신은 스스로 자기자신을 자극하고 동기를 부여하며, 세상으로 나아가 자신의 타고난 재능을 발휘하여 다른 사람들의 문제를 해결하거나 새로운 질서를 널리 알립니다.다른 사람들은 당신을 보자마자 크게 기대를 갖게 됩니다. '내 문제를 해결해줄 거야, 나를 도와줄 거야 너만 있으면 돼'. 이런 식으로 당신이 원하든 원하지 않든 사람들은 당신에게 큰 기대감을 갖게 됩니다. 당신은 실루엣만 보이는 반투명 커튼 뒤에 가려진 무언가와 같습니다. 명확히 보이지 않는 것에서 오는 환상, 즉 자신들이 보고싶은 대로 당신을 봅니다. 이것은 당신의 영향력임과 동시에 매우 큰 부담입니다. 또한 당신은 자신이 좋아하는 것에 집중하며 혼자 재미있게 놀고 있는데, 이 모습이 다른 사람들에게는 타고난 재능으로 인식되어 이런저런 것들을 해보라는 제안을 받기도 합니다. 이러한 제안은 다른 사람들이 당신에게서 보는 잠재성에 대한 기대 때문입니다. '내 문제를 해결해줄 해결사일지도 모른다는 기대'와 '뭔가 잠재성이 있어 보인다'는 기대를 동시에 받는 당신은 불편함을 느낄 수 있습니다. 모든 사람들의 기대를 충족시켜 줄 수 있을지 없을지 불확실하기 때문에 사람들과 거리를 두고 싶어하고 직접 연관되는 것을 꺼리기도 합니다. 당신은 스스로 자신이 나서야 하거나 나섰을때 안전해지는 방법을 알아야 합니다. 그것은 그만큼 당신이 사람들에게 비쳐지는 투사가 크다는 것을 알아야 합니다."
