title,paragraph
시작 message,"{0}님, 안녕하세요, 저는 당신이 어떤 사람인지 알려줄 마스터 봇 입니다. 자, 이제 당신에 대해 알아봅시다."
특징 하나 끝났을 때 계속 할 지,계속 할까요?
센터 하나 끝났을 때 계속 할 지,센터에 대한 설명을 이어서 들으시겠어요?
특징 시작 시,"자, 이제 다른 특징에 대해 알아봅시다"
질문 있는지 물음,질문이 있나요?
질문 있어요 버튼 클릭 시,무엇이 궁금하신가요?
질문 끝났을 때 추가 질문 있는 지,다른 질문있나요?
올바른 질문이 아닌 경우,잘 이해할 수 없습니다. 궁금한 게 있으시면 아이매뉴얼을 읽어보세요!
채팅 치면 안 될 때 채팅 시,지금은 채팅하실 수 없습니다. 질문이 있으시면 질문 버튼을 클릭해주세요!
채팅 치면 안 될 때 채팅 시,문제가 생겼다면 마스터봇을 입력해주세요!
last message,마스터봇의 설명이 도움이 되고 있나요? 언제든 다시 불러주세요~
last message,당신이 타고난 디자인에 대한 마스터봇의 설명이 이해가 잘 되셨나요?
last message,"아이매뉴얼에서 준비한 당신의 설명서를 꼼꼼히 읽어보시길 바랍니다.""더불어 행복설명서와 관계사용 설명서도 꼭 읽어보세요~"""
last message,궁금한 점이 있다면 채팅창에 '마스터봇'이라고 입력해주세요.
last message,당신이 타고난 디자인대로 행복하게 살 수 있기를 응원합니다. 다시 만나요~
마스터봇 호출,"안녕하세요 {0}님, 저를 부르셨나요~? :) 다시 찾아주셔서 감사해요~"
마스터봇 호출(리딩 종료),다시 듣고 싶은 항목을 선택해 주세요
마스터봇 호출(리딩 미종료),지난번에 이어서 들으시겠어요?
